modelo,familia,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1
Random Forest,ML clásico + geometría,0.9856209150326798,0.9863642850484956,0.9855927355927356,0.9855336171766611,0.9855104822734516
GAT Mejorada,GCN,0.9830065359477124,0.9835328387959967,0.9830544830544832,0.9829932411370893,0.9829798458299254
GCN PyTorch Geometric,GCN,0.9764705882352941,0.9778612564235157,0.9765479765479764,0.9765993928146398,0.9766058809303596
SVM RBF,ML clásico + geometría,0.9673202614379085,0.9689817873111473,0.9672887172887172,0.9672808535603171,0.967345423447331
HandGAT Robusto (Augment),GCN,0.9660130718954248,0.9679556575836685,0.9659659659659658,0.9660431923624104,0.9660064845674525
MLP + geometría,Red neuronal + geometría,0.9594771241830066,0.960652094707822,0.9593879593879593,0.9590475197567746,0.9591059534874067
KNN,ML clásico + geometría,0.9437908496732026,0.9446355423305509,0.9438724438724441,0.9433871152775379,0.9433693305902073
