modelo,familia,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1
Random Forest,ML clásico + geometría,0.9882352941176471,0.98887710729816,0.9882382382382382,0.9882258281317122,0.9882049790902353
GAT Mejorada,GCN,0.9803921568627451,0.9815234622680065,0.9804447304447305,0.9804768367561886,0.98042446584763
GCN PyTorch Geometric,GCN,0.9725490196078431,0.9737095932584655,0.9725797225797225,0.9725015302126768,0.9725223471776149
HandGAT Robusto (Augment),GCN,0.9712418300653595,0.9719630245946034,0.9711854711854713,0.9710947774270016,0.9711685736499464
SVM RBF,ML clásico + geometría,0.9660130718954248,0.967406280376205,0.9660374660374659,0.9660054031380867,0.9660143969161431
KNN,ML clásico + geometría,0.9437908496732026,0.9444846540217678,0.9438724438724441,0.943354149981415,0.943319794986492
MLP + geometría,Red neuronal + geometría,0.9424836601307189,0.9453780082352049,0.9424781924781926,0.9428737968828436,0.9429758574386294
